Series,Episode,Code,Type,Group,Description,Second Description,Seat 1 points,Seat 2 Points,Seat 3 Points,Seat 4 Points,Seat 4 Points,Tags,Youtube Link
14,5,M2,Main,no,,,,,,,,,
14,5,M3,Main,no,,,,,,,,,
14,5,F,Final,no,,,,,,,,,
14,6,P,Prize,no,,,,,,,,,
14,6,M1,Main,no,,,,,,,,,
14,6,M2,Main,no,,,,,,,,,
14,6,M3,Main,no,,,,,,,,,
14,6,F,Final,no,,,,,,,,,
14,7,P,Prize,no,,,,,,,,,
14,7,M1,Main,no,,,,,,,,,
14,7,M2,Main,no,,,,,,,,,
14,7,M3,Main,no,,,,,,,,,
14,7,F,Final,no,,,,,,,,,
14,8,P,Prize,no,,,,,,,,,
14,8,M1,Main,no,,,,,,,,,
14,8,M2,Main,no,,,,,,,,,
14,8,M3,Main,no,,,,,,,,,
14,8,F,Final,no,,,,,,,,,
14,9,P,Prize,no,,,,,,,,,
